username;date;retweets;favorites;text;geo;mentions;hashtags;permalink
_DeLaPopularSur;2015-09-14 19:59;0;0;"Estoy temblando oks.";;;;https://twitter.com/_DeLaPopularSur/status/643574931775733760
AyalaDaniella_;2015-09-14 19:59;0;0;"XX Me sonrieron sus ojos y me tembló hasta el alma XX";;;;https://twitter.com/AyalaDaniella_/status/643574864960462848
eq_map_es;2015-09-14 19:59;0;1;"?M4.4?MAR DE BANDA 106.1km 14/09/2015 23:41:36 UTC #Sismo #Terremoto (G) http:// j.mp/1icntLq (USGS) http:// j.mp/1icntLn";;;#Sismo #Terremoto;https://twitter.com/eq_map_es/status/643574825521250304
Hernandez___A;2015-09-14 19:59;0;1;"Me sonrieron sus ojos y me tembló hasta el alma...";;;;https://twitter.com/Hernandez___A/status/643574815874351104
_AlejaApazaS28;2015-09-14 19:59;0;1;"Me sonrió y me tembló hasta el alma.";;;;https://twitter.com/_AlejaApazaS28/status/643574774615175169
0618Cesar;2015-09-14 19:59;0;0;"Hay una grieta en mi corazon ,, un planeta con desilucion. Despiertame cuando pase el temblor ... By César... http:// fb.me/4vhL1DUM8";;;;https://twitter.com/0618Cesar/status/643574727026438144
Juan_Levas;2015-09-14 19:59;0;2;"Me sonrieron sus ojos y me tembló hasta el alma.";Medellín, Colombia;;;https://twitter.com/Juan_Levas/status/643574711314710528
eq_map_es2;2015-09-14 19:58;0;1;"?mb4.4?MAR DE BANDA 106km 14/09/2015 23:41:36 UTC #Sismo #Terremoto (G) http:// j.mp/1KiZpNv (EMSC) http:// j.mp/1FaWyuf";;;#Sismo #Terremoto;https://twitter.com/eq_map_es2/status/643574614329683968
lorienchoseyou;2015-09-14 19:58;0;0;"Estoy temblando , real";;;;https://twitter.com/lorienchoseyou/status/643574535313358848
Marisolf99;2015-09-14 19:58;0;0;"@BraaiiQuinteros te envidio yo estoy temblando";;@BraaiiQuinteros;;https://twitter.com/Marisolf99/status/643574513700048896
jaimeabg17;2015-09-14 19:58;0;0;"Volver a verte, volver a temblar .";;;;https://twitter.com/jaimeabg17/status/643574510118039552
StayInfinity88;2015-09-14 19:57;234;223;"Me sonrieron sus ojos y me tembló hasta el alma.";;;;https://twitter.com/StayInfinity88/status/643574386281189377
miguelmelo95;2015-09-14 19:56;0;0;"no outro dia disseram-me q sismo é a única palavra que não rima com nada";;;;https://twitter.com/miguelmelo95/status/643574193125203969
singbloods;2015-09-14 19:56;0;0;"me esta temblando el brazo es una señal de dios porque dios me ama";;;;https://twitter.com/singbloods/status/643574142948671489
PCAhome;2015-09-14 19:56;2;3;"Simulacro hipótesis de sismo en universidad de Los mochis. Puesto de mando. @arturoduarteg @omarmendoza0979 @PCAhome . pic.twitter.com/eWpIKL7I2N";Ahome, Sinaloa;@arturoduarteg @omarmendoza0979 @PCAhome;;https://twitter.com/PCAhome/status/643574051076599808
JonnathanSady1;2015-09-14 19:56;0;0;"@TamarAlexandraC nada, quizá me falta un terremoto :(";;@TamarAlexandraC;;https://twitter.com/JonnathanSady1/status/643574047582892032
GerenaCristhian;2015-09-14 19:55;1;0;"@LorenaMRS0827 Diablo te duro lo que dura un temblor";;@LorenaMRS0827;;https://twitter.com/GerenaCristhian/status/643573941986963456
BauGrandinetti;2015-09-14 19:55;0;0;"El jueves a esta hora voy a estar temblando de emoción #Note";;;#Note;https://twitter.com/BauGrandinetti/status/643573889235349505
Yoha_Gutierre;2015-09-14 19:55;4;1;"& la verdad es que no soy tan fuerte como lo pensaba, mi voz se quiebra, estoy temblando de miedo.. pues sin ti no soy nada.";;;;https://twitter.com/Yoha_Gutierre/status/643573823925800960
MicaaMatus;2015-09-14 19:55;0;0;"Si se viene un terremoto que sea después de este fin de semana, no me estoy perdiendo mis siestas al pedo.";;;;https://twitter.com/MicaaMatus/status/643573821396619264
DJZerpa;2015-09-14 19:55;1;3;"Me sonrieron sus ojos y me tembló hasta el alma.";;;;https://twitter.com/DJZerpa/status/643573753239203844
tenientejaritos;2015-09-14 19:55;0;0;"No habrá ningún terremoto , huracán, deflagración, o desgracia terrible cualquiera, que se deje caer mañana por Tordesillas?";;;;https://twitter.com/tenientejaritos/status/643573749204316160
Mariannyquin02;2015-09-14 19:54;0;0;""Me sonrieron sus ojos y me tembló hasta el alma" - (via contando-sonrisas) http:// tmblr.co/ZiPCrl1uFRBzt";;;;https://twitter.com/Mariannyquin02/status/643573571575529472
klainepriority;2015-09-14 19:54;0;0;"@fxckfifth GRACIAS TE JURO QUE SIGO TEMBLANDO <3";;@fxckfifth;;https://twitter.com/klainepriority/status/643573563727966208
