# http://earthquake.usgs.gov/earthquakes/search/
# Temblores de magnitud 5 a 10, durante un periodo de 10 años, limitada al area Chile.

time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-08T04:37:43.270Z,-36.0563,-101.0001,23.03,5.3,mb,,83,11.384,0.72,us,us20007crf,2016-10-10T17:58:48.000Z,"Southeast of Easter Island",earthquake,12,4.8,0.031,344,reviewed,us,us
2016-10-05T18:47:49.230Z,-41.4419,-85.6942,10,5.2,mb,,132,10.987,0.86,us,us20007c65,2016-10-05T19:17:24.040Z,"West Chile Rise",earthquake,8.4,1.8,0.047,150,reviewed,us,us
2016-09-29T00:21:10.280Z,-35.5494,-103.8896,10,5.2,mb,,67,9.598,0.55,us,us10006tpd,2016-10-03T20:58:28.000Z,"Southeast of Easter Island",earthquake,11,1.9,0.032,314,reviewed,us,us
2016-09-26T11:19:04.290Z,-28.2454,-111.6146,15.83,5,mb,,172,2.214,1.08,us,us10006src,2016-10-08T08:37:12.040Z,"247km WSW of Hanga Roa, Chile",earthquake,12.9,5.1,0.067,71,reviewed,us,us
2016-09-24T20:27:17.670Z,-21.5401,-68.2949,94.87,5.1,mwr,,30,0.917,1.03,us,us10006scg,2016-09-25T01:59:24.440Z,"121km NNE of Calama, Chile",earthquake,6.1,5,0.042,54,reviewed,us,us
2016-09-22T08:48:10.460Z,-28.0821,-111.6002,10,5,mb,,123,2.129,0.91,us,us10006rki,2016-09-22T09:06:10.040Z,"237km WSW of Hanga Roa, Chile",earthquake,4.3,1.9,0.063,81,reviewed,us,us
2016-09-20T13:24:42.870Z,-23.5762,-68.1828,127.44,5,mwr,,45,0.621,0.8,us,us10006r20,2016-10-11T13:14:32.040Z,"73km S of San Pedro de Atacama, Chile",earthquake,6,4.4,,,reviewed,us,guc
2016-09-10T00:55:33.250Z,-19.5127,-69.0805,124.19,5,mb,,74,0.188,0.96,us,us10006ni0,2016-10-01T21:33:15.040Z,"136km NE of Iquique, Chile",earthquake,5.9,7.3,0.137,17,reviewed,us,us
2016-09-08T02:34:01.920Z,-21.8435,-68.5971,128.99,5,mb,,31,0.6,1.16,us,us10006mxc,2016-09-09T16:25:50.000Z,"77km NNE of Calama, Chile",earthquake,6.9,7.9,0.399,2,reviewed,us,us
2016-09-07T20:03:24.080Z,-20.0918,-69.1346,100.08,5.4,mb,,59,0.424,1.4,us,us10006mu3,2016-09-08T03:27:40.040Z,"106km E of Iquique, Chile",earthquake,5.8,3.9,0.038,237,reviewed,us,us
2016-09-06T07:37:45.860Z,-21.2264,-67.6974,148.46,5,mww,,37,1.545,1.06,us,us10006mci,2016-09-19T12:17:57.040Z,"124km SW of Uyuni, Bolivia",earthquake,7.2,5.5,,,reviewed,us,us
2016-09-03T10:59:22.870Z,-27.9124,-112.1237,10,5.1,mb,,64,2.502,0.68,us,us10006jxm,2016-10-01T06:01:33.040Z,"278km WSW of Hanga Roa, Chile",earthquake,7.9,1.7,0.036,249,reviewed,us,us
2016-08-30T08:09:09.290Z,-34.8956,-72.555,14.2,5.4,mww,,72,0.525,0.87,us,us20006v8s,2016-10-08T06:05:54.003Z,"50km NNW of Constitucion, Chile",earthquake,4.7,1.1,,,reviewed,us,us
2016-08-19T09:49:10.810Z,-17.0241,-72.349,44.91,5.3,mwr,,138,2.335,0.74,us,us10006eyx,2016-10-07T13:38:41.040Z,"35km W of Mollendo, Peru",earthquake,7.3,6.3,,,reviewed,us,guc
2016-08-16T18:17:32.230Z,-19.7581,-71.0971,17.61,5.1,mww,,136,1.041,1.09,us,us10006e6x,2016-09-21T17:23:04.040Z,"112km WNW of Iquique, Chile",earthquake,2.7,3.3,,,reviewed,us,us
2016-08-16T02:58:38.270Z,-22.5053,-68.6772,107.19,5.4,mww,,28,0.241,0.89,us,us10006e1n,2016-09-26T00:24:59.040Z,"26km E of Calama, Chile",earthquake,6.5,4.2,,,reviewed,us,us
2016-08-14T13:28:42.520Z,-20.2005,-69.1698,100,5,mwr,,43,0.529,0.94,us,us10006dri,2016-09-25T13:13:07.040Z,"101km E of Iquique, Chile",earthquake,5.4,1.8,0.046,45,reviewed,us,us
2016-08-08T12:24:32.820Z,-31.5865,-71.6537,29.95,5,mwr,,113,0.676,0.77,us,us10006c1k,2016-08-21T10:01:05.040Z,"46km W of Illapel, Chile",earthquake,5.5,3.2,,,reviewed,us,guc
2016-07-27T06:43:48.580Z,-24.065,-67.7928,121,5.4,mww,,36,1.163,1.36,us,us20006i18,2016-09-24T22:47:21.040Z,"134km SSE of San Pedro de Atacama, Chile",earthquake,8.5,1.8,,,reviewed,us,us
2016-07-27T01:25:12.940Z,-44.4113,-79.0594,10,5.9,mww,,53,4.117,1.32,us,us20006hzu,2016-10-04T17:20:37.007Z,"Off the coast of Aisen, Chile",earthquake,8.6,1.8,,,reviewed,us,us
2016-07-25T17:26:50.210Z,-26.1067,-70.5111,72,6.1,mww,,25,0.088,0.68,us,us20006hi2,2016-09-24T22:47:19.040Z,"54km WNW of Diego de Almagro, Chile",earthquake,4.9,1.7,,,reviewed,us,us
2016-07-23T22:17:57.370Z,-22.4116,-67.1718,27.54,5,mb,,30,1.074,0.79,us,us20006h58,2016-09-24T22:47:17.040Z,"120km ENE of San Pedro de Atacama, Chile",earthquake,3.8,4.1,0.058,95,reviewed,us,us
2016-07-19T05:18:40.260Z,-30.2523,-71.9722,8.01,5.8,mww,,82,0.511,1.44,us,us20006fpn,2016-10-03T20:57:55.000Z,"69km WSW of Coquimbo, Chile",earthquake,5.1,2.6,,,reviewed,us,us
2016-07-18T08:59:43.390Z,-30.3561,-71.8616,35,5,mwr,,52,0.372,1,us,us20006fhz,2016-09-17T01:27:49.040Z,"66km SW of Coquimbo, Chile",earthquake,5.4,1.8,,,reviewed,us,guc
2016-07-18T02:58:50.040Z,-30.7537,-71.7935,23.97,5.2,mwr,,55,0.158,1.19,us,us20006fgd,2016-09-17T01:27:49.040Z,"59km WSW of Ovalle, Chile",earthquake,3.9,3.7,,,reviewed,us,guc
